fund_id,fund_name,fund_type,sub_category,risk_level,expense_ratio_pct,AUM_crores,inception_date,benchmark,return_3yr_pct,return_5yr_pct,return_10yr_pct,volatility_3yr_pct,alpha_3yr_pct,beta_3yr,avg_annual_return_pct,min_investment_rs,exit_load_pct,description,recommended_for,tax_treatment
DT001,Ultra Liquid Fund A,Debt,Ultra Short / Liquid,Low,0.20,3500,2012-01-10,CRISIL Liquid,4.2,4.0,3.9,1.2,0.05,0.10,4.0,1000,0.0,"Highly liquid fund investing in money market instruments with minimal interest rate risk.","Short-term parking of cash and emergency funds",Debt: Interest taxed as per slab; short-term capital gains taxed as per slab
DT002,Short Duration Fund B,Debt,Short Duration,Low,0.40,1800,2014-04-15,CRISIL Short Term,6.5,6.0,6.2,3.5,0.15,0.30,6.2,5000,0.5,"Invests in short-duration bonds and papers to balance yield with low duration risk.","Investors with 1–3 year horizon seeking moderate returns",Debt: Interest taxed as per slab; LTCG taxed with indexation benefits
DT003,Corporate Bond Fund C,Debt,Corporate Bond,Low-Moderate,0.65,2600,2011-09-20,CRISIL Composite Bond,7.2,7.0,7.5,5.0,0.25,0.45,7.3,5000,1.0,"Primarily invests in high-quality corporate bonds offering better yields than government securities.","Income-seeking investors with medium-term horizon",Debt: Interest taxed as per slab; LTCG taxed with indexation
DT004,Gilt Fund 10Y D,Debt,Gilt (Long Duration),Moderate,0.55,1200,2010-02-01,CRISIL Gilt,8.0,8.5,8.8,10.5,0.30,0.90,8.4,5000,1.0,"Invests in long-duration government securities; sensitive to interest rate movements.","Investors seeking duration exposure and potential capital gains",Debt: Interest taxed as per slab; LTCG taxed with indexation
DT005,Money Market Fund E,Debt,Money Market,Low,0.25,900,2016-05-28,CRISIL Money Market,4.6,4.3,4.2,1.5,0.06,0.12,4.3,1000,0.0,"Short maturity instruments suitable for very short-term parking with minimal risk.","Treasury operations and corporate cash management",Debt: Interest taxed as per slab
DT006,Dynamic Bond Fund F,Debt,Dynamic Bond,Moderate,0.85,780,2013-08-07,CRISIL Composite Bond,7.0,7.2,7.1,6.5,0.20,0.60,7.1,5000,1.0,"Active duration management across the yield curve to exploit interest rate cycles.","Investors seeking active duration exposure and yield optimization",Debt: Interest taxed as per slab; LTCG with indexation
DT007,Gilt Fund Inflation Linked G,Debt,Inflation Linked Gilt,Low-Moderate,0.60,420,2015-11-11,CRISIL Gilt Inflation,5.5,5.8,6.0,6.0,0.10,0.50,5.8,5000,1.0,"Invests in inflation-linked government bonds that protect real returns.","Investors looking to hedge inflation risk",Debt: Interest and principal follow indexation rules; tax as per slab
DT008,Credit Opportunities Fund H,Debt,Credit Risk,High,1.20,540,2017-03-05,CRISIL Credit,9.5,8.7,7.9,12.2,0.90,1.20,8.7,5000,2.0,"Allocates to lower-rated corporate debt to capture higher yields with credit risk.","Yield-seeking investors who accept credit/default risk",Debt: Interest taxed as per slab; LTCG with indexation
DT009,Income Fund Ladder I,Debt,Medium Duration,Moderate,0.75,680,2012-10-01,CRISIL Composite Bond,7.4,7.1,7.3,7.0,0.28,0.60,7.2,5000,1.0,"Builds a ladder of bonds with staggered maturities to reduce reinvestment risk.","Investors seeking predictable cashflows and moderate returns",Debt: Interest taxed as per slab; LTCG with indexation
DT010,Banking PSU Debt Fund J,Debt,Corporate Bond - PSU,Low-Moderate,0.50,320,2016-07-17,CRISIL PSU Bond,6.8,6.5,6.6,5.5,0.18,0.50,6.6,5000,1.0,"Invests predominantly in high-rated bank and PSU debt instruments for credit safety.","Conservative investors seeking slightly better yields than government bonds",Debt: Interest taxed as per slab; LTCG with indexation
DT011,Floating Rate Debt Fund K,Debt,Floating Rate,Low-Moderate,0.45,290,2018-09-12,CRISIL Short Term,6.0,5.8,5.7,3.8,0.10,0.30,5.8,5000,0.5,"Holds instruments with floating coupons that reset with benchmarks, reducing interest rate sensitivity.","Investors during rising rate cycles seeking predictable yields",Debt: Interest taxed as per slab; LTCG with indexation
DT012,Tax Free Bond Fund L,Debt,Government Bond,Gilt,Low,0.40,210,2009-12-01,CRISIL Gilt,4.5,5.0,5.2,4.8,0.05,0.40,4.9,1000,0.0,"Invests in tax-free government bonds; suited for investors in high tax brackets seeking tax-efficient income.","High-tax-bracket investors seeking steady tax-free income",Debt: Interest often tax-exempt per bond rules (see instrument specifics)
DT013,Ultra Safe Liquid Fund M,Debt,Liquid,Low,0.18,4100,2011-04-01,CRISIL Liquid,4.1,4.0,3.8,1.1,0.04,0.09,4.0,1000,0.0,"Low-risk liquid fund holding treasury bills and overnight money market securities.","Emergency fund and short-term parking",Debt: Interest taxed as per slab
DT014,Overnight Money Fund N,Debt,Overnight,Low,0.10,2200,2014-12-02,CRISIL Overnight,3.7,3.8,3.6,0.5,0.02,0.05,3.7,1000,0.0,"Invests only in overnight papers providing extremely low risk and instant liquidity.","Ultra-short-term parking",Debt: Interest taxed as per slab
DT015,Treasury Advantage Fund O,Debt,Low Duration,Low,0.27,1500,2015-03-18,CRISIL Low Duration,5.0,4.7,4.6,1.8,0.10,0.25,4.7,1000,0.0,"Suitable for conservative investors wanting low volatility with higher yield than liquid funds.","Short-term investments (3–6 months)",Debt: Slab taxation
DT016,Short Term Yield Fund P,Debt,Short Duration,Low,0.38,1850,2013-10-10,CRISIL Short Duration,6.2,5.9,6.0,3.4,0.15,0.32,6.0,5000,0.5,"Short duration debt fund for modest returns and interest-rate resilience.","1–3 year investment horizon",Debt: LTCG with indexation
DT017,Corporate Bond Premium Fund Q,Debt,Corporate Bond,Low-Moderate,0.70,3100,2011-06-28,CRISIL Corporate Bond,7.0,6.8,7.3,4.8,0.25,0.40,7.1,5000,1.0,"High-quality corporate bonds with strong credit ratings.","Investors seeking safe yield enhancement",Debt: LTCG with indexation
DT018,Banking & PSU Debt Fund R,Debt,PSU/Banking,Low,0.48,2600,2012-08-22,CRISIL Banking & PSU,6.7,6.4,6.5,4.3,0.20,0.38,6.5,5000,0.5,"Debt fund focusing on high-rated PSU and bank bonds.","Stable income-oriented investors",Debt: LTCG with indexation
DT019,Gilt Constant Maturity 10Y S,Debt,Gilt - 10 Year,Moderate,0.55,1400,2010-11-03,CRISIL Gilt 10 Yr,8.1,8.4,8.7,10.0,0.35,0.90,8.4,5000,1.0,"Invests in long-term government securities pegged around 10-year maturity.","Investors bullish on falling interest rates",Debt: LTCG with indexation
DT020,Dynamic Bond Allocator T,Debt,Dynamic Bond,Moderate,0.85,720,2016-01-27,CRISIL Composite Bond,7.3,7.1,7.0,6.3,0.22,0.58,7.1,5000,1.0,"Actively shifts duration to exploit interest rate cycles.","Medium-term tactical debt investors",Debt: LTCG with indexation
DT021,Credit Risk Advantage Fund U,Debt,Credit Risk,High,1.25,580,2017-04-14,CRISIL Credit Risk,9.0,8.5,7.8,11.8,0.85,1.15,8.4,5000,2.0,"Higher-yielding but riskier corporate papers.","Aggressive yield seekers",Debt: Slab + indexation for LTCG
DT022,Corporate Ultra Premium Fund V,Debt,Corporate Bond,Moderate,0.68,1950,2012-07-08,CRISIL Corporate Bond,7.3,7.1,7.2,4.5,0.30,0.48,7.2,5000,1.0,"Corporate bond strategy targeting AA+, AAA-rated issuers.","Moderate-risk investors seeking predictable income",Debt: LTCG with indexation
