fund_id,fund_name,fund_type,sub_category,risk_level,expense_ratio_pct,AUM_crores,inception_date,benchmark,return_3yr_pct,return_5yr_pct,return_10yr_pct,volatility_3yr_pct,alpha_3yr_pct,beta_3yr,avg_annual_return_pct,min_investment_rs,exit_load_pct,description,recommended_for,tax_treatment
EQ001,Equity Growth Fund A,Equity,Large Cap,Moderate,0.95,4200,2010-03-15,NIFTY 50,12.8,11.2,13.5,14.2,0.8,0.95,11.0,5000,1.0,"Diversified large-cap equity fund focusing on established companies with stable earnings and dividend history.","Long-term investors seeking stable growth",Equity: LTCG taxable above ₹1L @10% without indexation
EQ002,Equity Momentum Fund B,Equity,Flexi Cap,High,1.45,1850,2015-07-01,NIFTY 500,18.5,16.3,14.0,22.1,1.6,1.20,16.0,5000,1.0,"Active flexi-cap fund that shifts allocation across market caps to capture growth momentum.","Investors seeking higher growth and can tolerate volatility",Equity: LTCG taxable above ₹1L @10% without indexation
EQ003,Equity Value Fund C,Equity,Large Cap,Moderate,1.10,960,2012-11-20,NIFTY 50,10.0,9.5,12.2,12.0,0.6,0.90,10.2,5000,1.0,"Value-oriented large-cap fund investing in underpriced bluechips with good cash flows.","Investors preferring stable value stocks and dividends",Equity: LTCG taxable above ₹1L @10% without indexation
EQ004,Midcap Opportunity Fund D,Equity,Mid Cap,High,1.60,760,2016-05-10,NIFTY Midcap 150,24.4,21.0,18.3,30.2,2.1,1.45,20.0,5000,1.0,"Focused mid-cap fund targeting companies with scalable businesses and improving margins.","Aggressive investors with 5–7+ year horizon",Equity: LTCG taxable above ₹1L @10% without indexation
EQ005,Smallcap Growth Fund E,Equity,Small Cap,Very High,1.85,420,2017-09-05,NIFTY Smallcap 250,35.0,28.5,20.7,42.6,2.8,1.75,26.0,5000,2.0,"High-risk small-cap fund aiming for outsized returns from emerging companies.","Highly aggressive investors with long horizon (7+ years)",Equity: LTCG taxable above ₹1L @10% without indexation
EQ006,Sector Technology Fund F,Equity,Sectoral - Technology,Very High,1.75,920,2014-01-15,NIFTY IT,28.2,22.4,15.8,38.5,2.5,1.60,22.0,5000,2.0,"Concentrated sectoral fund investing in technology and related businesses.", "Investors bullish on technology sector and tolerant of cyclicality",Equity: LTCG taxable above ₹1L @10% without indexation
EQ007,Dividend Yield Fund G,Equity,Large Cap,Moderate,0.85,680,2011-06-25,NIFTY 100,9.0,8.3,10.5,11.5,0.5,0.88,9.5,5000,1.0,"Focuses on companies with consistent dividend payout and sustainable cash flows.","Income-oriented investors seeking dividends with equity exposure",Equity: LTCG taxable above ₹1L @10% without indexation
EQ008,Quality Growth Fund H,Equity,Multi Cap,High,1.25,1100,2013-04-10,NIFTY 500,16.2,14.8,13.9,18.9,1.3,1.10,14.5,5000,1.0,"Invests in high-quality businesses with strong return on equity and low leverage.","Investors seeking balanced growth across caps",Equity: LTCG taxable above ₹1L @10% without indexation
EQ009,Index Tracker Fund I,Equity,Index Fund,Low,0.20,5200,2008-02-01,NIFTY 50,11.5,10.8,12.8,13.0,0.2,1.00,11.0,1000,0.0,"Passive fund tracking NIFTY 50 with minimal tracking error and low costs.","Cost-conscious long-term investors preferring market returns",Equity: LTCG taxable above ₹1L @10% without indexation
EQ010,ESG Sustainable Fund J,Equity,Large Cap,Moderate,1.10,740,2016-08-12,NIFTY 100 ESG,13.9,12.0,11.4,15.4,0.9,0.95,12.5,5000,1.0,"Invests in companies with strong ESG scores and sustainable business models.","Investors preferring ESG-aligned long-term investments",Equity: LTCG taxable above ₹1L @10% without indexation
