fund_id,fund_name,fund_type,sub_category,risk_level,expense_ratio_pct,AUM_crores,inception_date,benchmark,return_3yr_pct,return_5yr_pct,return_10yr_pct,volatility_3yr_pct,alpha_3yr_pct,beta_3yr,avg_annual_return_pct,min_investment_rs,exit_load_pct,description,recommended_for,tax_treatment
HY001,Flexi Balanced Advantage A,Hybrid,Balanced Advantage,Moderate,0.95,8600,2013-05-12,NIFTY Hybrid 50:50,10.2,9.1,9.4,8.3,1.8,0.62,9.6,5000,1.0,"Dynamic equity-debt allocation adjusting to market valuations.","Investors seeking stable growth with downside protection",Hybrid Taxation (slab + equity rules)
HY002,Equity Savings Guard B,Hybrid,Equity Savings,Low-Moderate,0.75,3700,2014-09-04,NIFTY Equity Savings,7.8,7.2,6.9,3.4,0.60,0.25,7.3,5000,0.5,"Uses equity arbitrage + debt + limited equity exposure.","Low-risk hybrid seekers",Equity-oriented hybrid taxation
HY003,Aggressive Hybrid Growth C,Hybrid,Aggressive Hybrid,High,1.15,4100,2012-07-13,NIFTY Aggressive Hybrid 65:35,12.5,11.3,11.9,14.0,2.1,0.95,11.9,5000,1.0,"65%+ equity exposure for long-term capital growth.","High-risk, long-term investors",Equity LTCG after 1 year
HY004,Conservative Hybrid Income D,Hybrid,Conservative Hybrid,Low,0.65,2500,2015-11-19,NIFTY Conservative Hybrid,6.8,6.4,6.3,3.2,0.40,0.22,6.4,5000,0.5,"75% debt allocation with minimal equity risk.","Low-risk income-oriented investors",Debt LTCG after 3 years
HY005,Multi Asset Allocator E,Hybrid,Multi Asset,Moderate,1.05,5400,2011-03-15,NIFTY Multi Asset,10.5,10.2,10.4,9.8,1.9,0.70,10.4,5000,1.0,"Invests in equity, debt, gold, and international assets.","Diversified long-term investors",Mixed tax rules depending on asset split
HY006,Dynamic Hybrid Navigator F,Hybrid,Dynamic Asset Allocation,Moderate,0.98,6200,2013-06-22,NIFTY BAF,9.8,9.0,9.3,8.6,1.6,0.60,9.3,5000,1.0,"Automatically shifts between equity & debt based on valuations.","Medium-risk investors",Equity taxation (if >65% equity)
HY007,Arbitrage Hybrid Fund G,Hybrid,Equity Savings/Arbitrage,Low,0.40,3100,2017-04-13,NIFTY Arbitrage,5.2,5.1,5.0,1.2,0.10,0.05,5.1,1000,0.2,"Pure arbitrage positions delivering low-risk equity-like taxation.","Low-risk short-term parking",Equity taxation
HY008,Balanced Hybrid Growth H,Hybrid,Balanced Hybrid,Moderate-High,1.20,2800,2012-02-10,NIFTY Hybrid 50:50,11.1,10.3,10.7,12.2,1.9,0.82,10.7,5000,1.0,"50:50 equity-debt providing balanced risk.","Investors needing stability + growth",Equity LTCG
HY009,Income Stability Hybrid I,Hybrid,Conservative Hybrid,Low,0.60,1900,2015-09-18,NIFTY Conservative Hybrid,6.4,6.1,6.0,3.0,0.38,0.18,6.2,5000,0.5,"High-quality debt with small equity allocation.","Risk-averse investors",Debt LTCG
HY010,Wealth Creator Hybrid J,Hybrid,Aggressive Hybrid,High,1.30,4500,2011-07-11,NIFTY Aggressive Hybrid,13.1,11.9,12.4,15.2,2.3,0.98,12.3,5000,1.0,"High-equity hybrid for long-term investors.","Young investors with high risk appetite",Equity LTCG
HY011,Asset Mix Hybrid K,Hybrid,Balanced Advantage,Moderate,1.00,7200,2013-04-19,NIFTY Hybrid 50:50,10.0,9.2,9.5,8.4,1.7,0.68,9.5,5000,1.0,"Dynamic rebalancing for controlled volatility.","Medium-risk investors",Equity taxation
HY012,Hybrid Income Builder L,Hybrid,Conservative Hybrid,Low-Moderate,0.70,2100,2014-05-12,NIFTY Conservative Hybrid,6.9,6.3,6.1,3.3,0.35,0.20,6.3,5000,0.5,"Debt-oriented hybrid for predictable income.","Retirees & low-risk investors",Debt LTCG
HY013,International Hybrid Allocator M,Hybrid,Multi Asset,Moderate,1.25,1800,2016-01-22,NIFTY Multi Asset,10.1,9.8,9.7,9.5,1.8,0.72,9.8,5000,1.0,"Equity, debt, gold + international equity.","Global diversification seekers",Mixed tax
HY014,Dynamic Wealth Hybrid N,Hybrid,Aggressive Hybrid,High,1.35,3300,2012-09-14,NIFTY Aggressive Hybrid,12.8,11.5,11.8,14.8,2.0,0.92,11.7,5000,1.0,"Higher equity share for growth.","Long-term aggressive investors",Equity LTCG
HY015,Hybrid Equity Saver O,Hybrid,Equity Savings,Low,0.58,2400,2016-04-25,NIFTY Equity Savings,8.0,7.4,7.2,3.5,0.55,0.28,7.4,5000,0.5,"Low volatility strategy combining arbitrage + debt + equity.","Safe hybrid investors",Equity taxation
HY016,Tactical Hybrid Advantage P,Hybrid,Balanced Advantage,Moderate,1.05,6800,2013-12-21,NIFTY Hybrid 50:50,9.7,9.3,9.4,8.8,1.6,0.60,9.3,5000,1.0,"Tactical shifts to manage volatility.","Medium risk investors",Equity LTCG
HY017,Stable Yield Hybrid Q,Hybrid,Conservative Hybrid,Low,0.62,1600,2015-10-03,NIFTY Conservative Hybrid,6.5,6.2,6.0,3.2,0.38,0.18,6.2,5000,0.5,"Debt-centric hybrid maintaining stability.","Conservative risk profiles",Debt LTCG
HY018,Growth Plus Hybrid R,Hybrid,Aggressive Hybrid,High,1.22,3900,2012-06-29,NIFTY Aggressive Hybrid,12.3,11.1,11.4,13.8,2.0,0.88,11.4,5000,1.0,"High equity exposure for long-term gains.","Aggressive investors",Equity LTCG
HY019,All Season Hybrid S,Hybrid,Balanced Advantage,Moderate,1.08,7400,2013-08-20,NIFTY Hybrid 50:50,10.4,9.6,9.8,8.7,1.7,0.70,9.8,5000,1.0,"All-weather hybrid allocating across cycles.","Balanced investors",Equity taxation
HY020,Hybrid Consistent Saver T,Hybrid,Equity Savings,Low-Moderate,0.64,2800,2015-02-13,NIFTY Equity Savings,7.6,7.1,6.9,3.3,0.53,0.25,7.1,5000,0.5,"Low volatility + tax efficient.","Low-risk investors",Equity taxation
HY021,Ultra Hybrid Growth U,Hybrid,Aggressive Hybrid,High,1.28,3500,2011-10-04,NIFTY Aggressive Hybrid,12.1,11.4,11.6,14.1,2.1,0.92,11.5,5000,1.0,"Growth-focused hybrid for >7-year goals.","High-risk investors",Equity LTCG
HY022,Safeguard Hybrid V,Hybrid,Conservative Hybrid,Low,0.55,1800,2014-09-28,NIFTY Conservative Hybrid,6.3,6.0,6.1,3.1,0.36,0.17,6.1,5000,0.5,"Capital preservation oriented hybrid.","Risk-averse investors",Debt LTCG
HY023,Hybrid Diversified Multi W,Hybrid,Multi Asset,Moderate,1.18,2100,2016-03-19,NIFTY Multi Asset,10.2,9.9,10.0,9.6,1.9,0.75,10.0,5000,1.0,"Diversified holdings: equity, debt, gold.","Long-term diversified investors",Mixed tax
